,Age,W,Pace,ORB%,Tm,3P%,FT%,TOV,PTS,TS%,3PAr,FTr,TRB%,AST%,STL%,BLK%,year
147,25.8,59,97.4,23.0,TOR,3.7060000000000004,7.622000000000001,12.3,111.2,5.827999999999999,3.7510000000000003,2.365,104.8,140.1,15.6,20.3,2018.0
148,26.7,48,95.7,21.5,UTA,2.844,7.898,14.300000000000002,108.8,5.715,3.1710000000000003,2.998,106.8,132.6,17.8,22.1,2018.0
149,26.9,43,96.6,23.5,WAS,3.1080000000000005,7.665000000000001,15.400000000000002,115.5,5.69,2.845,2.736,102.0,153.2,15.5,16.0,2018.0
150,25.1,29,103.9,24.7,ATL,3.523000000000001,7.527999999999999,17.700000000000006,121.8,5.625000000000001,4.101,2.528,98.40000000000002,157.99999999999997,16.099999999999998,18.6,2019.0
151,25.7,49,99.6,21.6,BOS,3.6349999999999993,8.068,13.300000000000002,120.7,5.694000000000001,3.7460000000000004,2.234,104.1,156.4,16.2,21.0,2019.0
152,25.4,42,100.8,23.8,BRK,2.8810000000000002,7.354999999999999,14.299999999999995,111.3,5.65,3.844,3.112,107.70000000000002,132.6,12.4,13.8,2019.0
153,24.0,22,99.0,19.4,CHI,3.1450000000000005,7.896,16.4,120.59999999999998,5.395,3.0389999999999997,2.3220000000000005,96.1,145.4,15.499999999999998,17.900000000000006,2019.0
154,26.6,39,98.7,21.7,CHO,3.367,7.9860000000000015,11.9,110.3,5.568,3.289,2.6830000000000003,103.6,148.6,14.5,18.600000000000005,2019.0
155,25.2,19,96.6,23.7,CLE,2.807,7.7170000000000005,13.7,112.2,5.473,2.7750000000000004,2.6239999999999997,103.7,145.6,13.3,9.499999999999998,2019.0
156,26.9,33,99.0,22.7,DAL,3.069,7.4650000000000025,16.000000000000004,116.4,5.705,3.981,3.2710000000000004,100.2,146.8,13.799999999999995,16.200000000000006,2019.0
157,24.9,54,97.7,26.6,DEN,3.4250000000000003,7.6430000000000025,13.199999999999998,116.3,5.629,3.613,2.363,102.09999999999998,155.9,15.2,16.9,2019.0
158,26.9,41,97.4,24.8,DET,2.866,7.856000000000001,13.4,112.0,5.3210000000000015,3.818,2.559,99.5,148.89999999999995,14.2,12.4,2019.0
159,28.4,57,100.9,22.5,GSW,3.0380000000000003,7.4259999999999975,13.5,116.1,5.868999999999999,3.634,2.136,100.2,159.5,14.3,18.5,2019.0
