,3P%,FT%,TRB,AST,STL,BLK,PF,PTS,TEAM,AGE,W,SOS,PACE,3PAr,TS%,TOV%,ORB%,FT/FGA,D_eFG%,D_TOV%,DRB%,D_FT/FGA,SEASON
213,0.355,0.77,41.8,22.7,7.6,4.3,19.4,99.0,PHI,24.7,41.0,-0.5,91.7,0.184,0.535,12.3,24.6,0.21,0.487,13.5,74.5,0.231,2010-11
214,0.3720000000000001,0.7979999999999999,45.5,20.2,6.1,6.2,21.4,113.6,POR,27.5,29.0,0.49,100.7,0.371,0.5660000000000001,11.5,22.0,0.191,0.523,11.0,75.0,0.204,2019-20
215,0.359,0.8140000000000001,48.0,23.0,6.7,5.0,20.4,114.7,POR,26.2,53.0,0.24,99.1,0.339,0.568,12.1,26.6,0.21,0.516,11.0,77.9,0.195,2018-19
216,0.366,0.8,45.5,19.5,7.0,5.2,19.5,105.6,POR,25.6,49.0,0.0,96.5,0.324,0.5489999999999999,12.3,23.3,0.192,0.503,11.7,79.1,0.193,2017-18
217,0.375,0.78,43.7,21.1,7.0,5.0,21.2,107.9,POR,24.8,41.0,0.3,96.7,0.322,0.5589999999999999,12.5,23.0,0.214,0.508,11.6,76.8,0.241,2016-17
218,0.37,0.754,45.5,21.3,6.9,4.6,21.7,105.1,POR,24.3,44.0,0.15,96.0,0.332,0.5479999999999999,13.2,25.9,0.202,0.503,12.1,76.2,0.225,2015-16
219,0.362,0.8009999999999999,45.9,21.9,6.4,4.5,18.2,102.8,POR,27.0,51.0,0.18,94.2,0.316,0.544,12.6,24.2,0.18,0.476,11.3,76.2,0.182,2014-15
220,0.3720000000000001,0.815,46.4,23.2,5.5,4.7,19.2,106.7,POR,25.8,54.0,0.45,94.9,0.29,0.5479999999999999,12.4,28.0,0.22,0.488,11.0,74.7,0.194,2013-14
221,0.353,0.7759999999999999,40.8,21.8,6.6,4.3,18.5,97.5,POR,24.4,33.0,0.65,91.4,0.284,0.536,13.9,25.3,0.194,0.512,12.5,73.3,0.189,2012-13
222,0.34600000000000003,0.7959999999999999,40.7,20.4,8.0,4.9,19.0,97.2,POR,27.5,28.0,0.41,91.2,0.255,0.531,13.4,26.3,0.209,0.504,14.1,72.8,0.199,2011-12
223,0.345,0.804,39.3,21.2,8.0,4.4,19.3,96.3,POR,26.7,48.0,0.32,87.9,0.228,0.5329999999999999,12.6,29.5,0.224,0.51,15.4,72.0,0.231,2010-11
224,0.364,0.769,42.5,23.4,7.6,4.2,21.9,109.0,SAC,27.1,28.0,0.48,98.4,0.395,0.563,13.0,21.8,0.17800000000000002,0.54,13.6,78.5,0.222,2019-20
225,0.378,0.726,45.4,25.4,8.3,4.4,21.4,114.2,SAC,24.8,39.0,0.31,103.1,0.321,0.5539999999999999,11.5,23.1,0.177,0.5329999999999999,13.6,75.5,0.207,2018-19
226,0.375,0.735,40.9,21.6,7.8,4.1,20.0,98.8,SAC,26.4,27.0,0.39,94.9,0.278,0.529,12.8,21.5,0.14300000000000002,0.542,13.5,77.6,0.199,2017-18
227,0.376,0.775,41.1,22.5,7.6,4.0,20.3,102.8,SAC,27.9,32.0,0.58,94.9,0.29100000000000004,0.556,13.7,21.0,0.22,0.528,12.9,76.3,0.227,2016-17
228,0.359,0.725,44.2,24.5,8.9,4.5,20.4,106.6,SAC,26.6,33.0,0.16,100.0,0.26,0.546,14.2,23.9,0.214,0.521,14.0,74.9,0.202,2015-16
229,0.341,0.762,44.2,20.3,6.7,4.0,20.7,101.3,SAC,26.0,29.0,0.64,95.4,0.204,0.542,14.8,26.5,0.276,0.507,11.8,75.2,0.2,2014-15
230,0.333,0.759,44.5,18.9,7.2,3.9,22.5,100.5,SAC,24.9,28.0,0.82,94.4,0.218,0.532,13.9,27.8,0.251,0.512,12.7,76.6,0.234,2013-14
231,0.363,0.769,40.6,20.8,8.2,4.2,20.9,100.2,SAC,25.6,28.0,0.62,93.6,0.243,0.532,13.4,26.6,0.208,0.517,13.6,71.0,0.227,2012-13
232,0.316,0.736,42.9,19.3,8.5,4.9,19.5,98.8,SAC,24.3,22.0,0.73,94.7,0.228,0.51,13.0,29.1,0.197,0.515,13.9,70.5,0.199,2011-12
233,0.335,0.7340000000000001,43.9,20.4,7.4,4.8,22.0,99.4,SAC,24.8,24.0,0.54,95.2,0.183,0.519,14.4,29.9,0.208,0.513,13.5,74.4,0.233,2010-11
234,0.371,0.809,44.4,24.5,7.2,5.5,19.2,113.2,SAS,27.9,27.0,0.57,100.0,0.321,0.569,11.0,19.5,0.206,0.542,11.5,79.2,0.194,2019-20
235,0.392,0.8190000000000001,44.7,24.5,6.1,4.7,18.1,111.7,SAS,28.8,48.0,0.12,98.3,0.28600000000000003,0.5720000000000001,11.0,21.0,0.194,0.528,11.0,79.4,0.17,2018-19
236,0.35200000000000004,0.772,44.2,22.8,7.7,5.6,17.2,102.7,SAS,29.3,47.0,0.0,95.0,0.282,0.5429999999999999,12.2,23.7,0.189,0.507,13.2,78.6,0.17,2017-18
237,0.391,0.797,43.9,23.8,8.0,5.9,18.3,105.3,SAS,29.6,61.0,-0.06,94.2,0.281,0.564,12.6,24.0,0.21,0.4920000000000001,13.5,77.6,0.192,2016-17
238,0.375,0.8029999999999999,43.9,24.5,8.3,5.9,17.5,103.5,SAS,30.3,67.0,-0.36,93.8,0.223,0.564,12.4,23.0,0.197,0.477,14.1,79.1,0.182,2015-16
239,0.3670000000000001,0.78,43.6,24.4,8.0,5.4,19.1,103.2,SAS,29.8,55.0,0.14,93.8,0.269,0.555,13.1,23.4,0.2,0.484,13.3,77.3,0.19,2014-15
240,0.397,0.785,43.3,25.2,7.4,5.1,18.2,105.4,SAS,28.9,62.0,0.28,95.0,0.257,0.5710000000000001,13.5,22.7,0.188,0.482,12.8,76.4,0.184,2013-14
241,0.376,0.7909999999999999,41.3,25.1,8.5,5.4,17.4,103.0,SAS,28.6,58.0,0.27,94.2,0.264,0.568,14.0,20.5,0.204,0.48,13.7,74.9,0.179,2012-13
